system,jurisdiction,case_type,rli_days,rli_norm,cdr,rlr,rlr_norm,rcs,aai,g_linear,g_geometric,data_confidence,notes
South Africa,South Africa,illustrative application,187,0.49,0.31,0.31,0.69,0.48,0.22,0.44,0.41,structured estimate with public sources,Baseline application using DMRE/EITI/AfDB/WGI-style inputs
South Africa post-AIMRA,South Africa,projection,52,0.86,0.68,0.09,0.91,0.81,0.79,0.81,0.81,cross-sector analogue projection,Projected AIMRA values under equal weights
Agbabu baseline,Nigeria,tar sands simulation,241,0.34,0.18,0.47,0.53,0.31,0.14,0.30,0.27,structured estimate with uncertainty range,Baseline Agbabu tar sands governance profile
Agbabu post-AIMRA,Nigeria,projection,67,0.82,0.56,0.15,0.85,0.69,0.73,0.73,0.72,cross-sector analogue projection,Projected AIMRA values under equal weights
Athabasca baseline,Canada,global analogue,,0.91,0.82,0.07,0.93,0.88,0.79,0.87,,Tier 1 measured/derived,Mature tar sands governance analogue
Orinoco baseline,Venezuela,global analogue,,0.41,0.24,0.62,0.38,0.22,0.11,0.27,,Tier 2 structured estimate,Low-performance heavy-oil governance analogue
Utah baseline,United States,global analogue,,0.73,0.48,0.31,0.69,0.61,0.38,0.58,,Tier 3 indicative,Intermediate benchmarking analogue
