system,jurisdiction,case_type,rli_days,rli_norm,cdr,rlr,rlr_norm,rcs,aai,g_linear,g_geometric,data_confidence,notes,computed_rli_norm,computed_rlr_norm,computed_g_linear,computed_g_geometric
South Africa,South Africa,illustrative application,187,0.49,0.31,0.31,0.69,0.48,0.22,0.44,0.41,structured estimate with public sources,Baseline application using DMRE/EITI/AfDB/WGI-style inputs,0.4877,0.6900,0.4375,0.4059
South Africa post-AIMRA,South Africa,projection,52,0.86,0.68,0.09,0.91,0.81,0.79,0.81,0.80,cross-sector analogue projection,Projected AIMRA values under equal weights,0.8575,0.9100,0.8095,0.8057
Agbabu baseline,Nigeria,tar sands simulation,241,0.34,0.18,0.47,0.53,0.31,0.14,0.30,0.27,structured estimate with uncertainty range,Baseline Agbabu tar sands governance profile,0.3397,0.5300,0.2999,0.2689
Agbabu post-AIMRA,Nigeria,projection,67,0.82,0.56,0.15,0.85,0.69,0.73,0.73,0.72,cross-sector analogue projection,Projected AIMRA values under equal weights,0.8164,0.8500,0.7293,0.7217
Athabasca baseline,Canada,global analogue,,0.91,0.82,0.07,0.93,0.88,0.79,0.87,,Tier 1 measured/derived,Mature tar sands governance analogue,0.9100,0.9300,0.8660,0.8643
Orinoco baseline,Venezuela,global analogue,,0.41,0.24,0.62,0.38,0.22,0.11,0.27,,Tier 2 structured estimate,Low-performance heavy-oil governance analogue,0.4100,0.3800,0.2720,0.2462
Utah baseline,United States,global analogue,,0.73,0.48,0.31,0.69,0.61,0.38,0.58,,Tier 3 indicative,Intermediate benchmarking analogue,0.7300,0.6900,0.5780,0.5620
