system,jurisdiction,g_linear_reported,g_geometric_recomputed,data_confidence
South Africa,South Africa,0.44,0.4063,structured estimate with public sources
South Africa post-AIMRA,South Africa,0.81,0.8062,cross-sector analogue projection
Agbabu baseline,Nigeria,0.30,0.2690,structured estimate with uncertainty range
Agbabu post-AIMRA,Nigeria,0.73,0.7223,cross-sector analogue projection
Athabasca baseline,Canada,0.87,0.8643,Tier 1 measured/derived
Orinoco baseline,Venezuela,0.27,0.2462,Tier 2 structured estimate
Utah baseline,United States,0.58,0.5620,Tier 3 indicative
